ir1_ch4,ir3_co,uv0_o3,uv1_no2,uv3_bro,uv4_h2co,uv5_so2,uv6_oclo,uv7_so2,uv8_h2o,uv9_chocho,lat,lon
0.0,0.0,0.0,0.0,0.0,0.0,0.0,558582374400.0,0.0,0.0,0.0,-84.19354838709677,-180.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,685501546496.0,0.0,0.0,0.0,-84.19354838709677,-174.28571428571428
0.0,0.0,0.0,0.0,0.0,0.0,0.0,385799190869.3333,0.0,0.0,0.0,-84.19354838709677,-168.57142857142858
0.0,0.0,0.0,0.0,0.0,0.0,0.0,484065927168.0,0.0,0.0,0.0,-84.19354838709677,-162.85714285714286
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1177862144000.0,0.0,0.0,0.0,-84.19354838709677,-122.85714285714286
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2091264884736.0,0.0,0.0,0.0,-84.19354838709677,-117.14285714285714
0.0,0.0,0.0,0.0,0.0,0.0,0.0,32158097866752.0,0.0,0.0,0.0,-84.19354838709677,-94.28571428571428
0.0,0.0,0.0,0.0,0.0,0.0,0.0,285356097536.0,0.0,0.0,0.0,-84.19354838709677,-88.57142857142857
0.0,0.0,0.0,0.0,0.0,0.0,0.0,426549313536.0,0.0,0.0,0.0,-84.19354838709677,-82.85714285714286
0.0,0.0,0.0,0.0,0.0,0.0,0.0,247145627648.0,0.0,0.0,0.0,-84.19354838709677,-60.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,16770856960.0,0.0,0.0,0.0,-84.19354838709677,-42.85714285714286
0.0,0.0,0.0,0.0,0.0,0.0,0.0,500492402688.0,0.0,0.0,0.0,-84.19354838709677,-31.428571428571416
0.0,0.0,0.0,0.0,0.0,0.0,0.0,25404610560.0,0.0,0.0,0.0,-84.19354838709677,-25.714285714285722
0.0,0.0,0.0,0.0,0.0,0.0,0.0,862529847296.0,0.0,0.0,0.0,-84.19354838709677,-20.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,165586534400.0,0.0,0.0,0.0,-84.19354838709677,14.285714285714278
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2138536804352.0,0.0,0.0,0.0,-84.19354838709677,25.714285714285722
0.0,0.0,0.0,0.0,0.0,0.0,0.0,297956482340.5714,0.0,0.0,0.0,-84.19354838709677,31.428571428571445
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1149663590058.6667,0.0,0.0,0.0,-84.19354838709677,37.14285714285714
0.0,0.0,0.0,0.0,0.0,0.0,0.0,537600131072.0,0.0,0.0,0.0,-84.19354838709677,42.85714285714286
0.0,0.0,0.0,0.0,0.0,0.0,0.0,903874150400.0,0.0,0.0,0.0,-84.19354838709677,48.571428571428584
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2664528248832.0,0.0,0.0,0.0,-84.19354838709677,65.71428571428572
0.0,0.0,0.0,0.0,0.0,0.0,0.0,855493967872.0,0.0,0.0,0.0,-84.19354838709677,71.42857142857144
0.0,0.0,0.0,0.0,0.0,0.0,0.0,903998165888.0,0.0,0.0,0.0,-84.19354838709677,88.57142857142856
0.0,0.0,0.0,0.0,0.0,0.0,0.0,340272087040.0,0.0,0.0,0.0,-84.19354838709677,94.28571428571428
0.0,0.0,0.0,0.0,0.0,0.0,0.0,8827127041401.262,0.0,0.0,0.0,-84.19354838709677,122.85714285714289
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1658681010858.6667,0.0,0.0,0.0,-84.19354838709677,140.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,78962777088.0,0.0,0.0,0.0,-84.19354838709677,145.71428571428572
0.0,0.0,0.0,0.0,0.0,0.0,0.0,33817982976.0,0.0,0.0,0.0,-84.19354838709677,162.8571428571429
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1687628546048.0,0.0,0.0,0.0,-84.19354838709677,168.57142857142856
0.0,0.0,0.0,0.0,0.0,0.0,0.0,423935008768.0,0.0,0.0,0.0,-84.19354838709677,174.28571428571428
0.0,0.0,0.0,0.0,0.0,0.0,0.0,6865650280277.333,0.0,0.0,0.0,-84.19354838709677,180.0
5.115725565448799e+19,0.0,1.2283757374530912e+19,2400984697405440.0,76806633816064.0,0.0,0.0,1000173836044.1906,0.0,1.7164948125115824e+22,0.0,-78.38709677419355,-180.0
6.362613458712566e+19,2.7137432001403945e+18,8.661536026151354e+18,1576898484240384.0,52759538696192.0,0.0,0.0,15817262781674.63,0.0,5.412123728048875e+21,0.0,-78.38709677419355,-174.28571428571428
1.1809810771143098e+20,0.0,1.6504457882754875e+19,3154880642416640.0,99217431330816.0,0.0,0.0,1135322457981.5386,0.0,8.733058577673494e+21,0.0,-78.38709677419355,-168.57142857142858
1.1621219766954095e+20,3.2143260365357056e+17,7.994803532523324e+18,1537562917208064.0,45511903876933.82,0.0,0.0,828495997791.6049,0.0,7.376066481822952e+21,0.0,-78.38709677419355,-162.85714285714286
