ir1_ch4,ir3_co,uv0_o3,uv1_no2,uv3_bro,uv4_h2co,uv5_so2,uv6_oclo,uv7_so2,uv8_h2o,uv9_chocho,lat,lon
3.85E+19,3.30E+18,7.38E+18,5.04089E+15,4.40519E+13,0,3.24686E+15,4.49001E+12,3.39678E+15,4.13E+21,0,-84.19354839,31.42857143
3.73E+19,3.24E+18,7.33E+18,5.01791E+15,4.33244E+13,0,4.61062E+15,4.55502E+12,4.99343E+15,4.10E+21,0,-84.19354839,37.14285714
3.61E+19,3.17E+18,7.31E+18,5.01353E+15,4.18585E+13,0,2.43829E+15,3.51712E+12,2.52848E+15,3.89E+21,0,-84.19354839,42.85714286
3.64E+19,2.84E+18,7.28E+18,5.016E+15,4.18379E+13,0,2.0493E+15,4.07055E+12,2.15687E+15,3.64E+21,0,-84.19354839,48.57142857
3.38E+19,2.55E+18,7.24E+18,5.00138E+15,4.10482E+13,0,1.59505E+15,2.51089E+12,1.71627E+15,3.60E+21,0,-84.19354839,54.28571429
3.27E+19,2.38E+18,7.21E+18,5.00349E+15,4.04882E+13,0,3.52072E+15,3.37059E+12,3.85314E+15,3.61E+21,0,-84.19354839,60
3.21E+19,2.38E+18,7.17E+18,5.03317E+15,4.02122E+13,0,3.48348E+15,3.21953E+12,3.90447E+15,3.52E+21,0,-84.19354839,65.71428571
3.14E+19,2.44E+18,7.14E+18,5.06551E+15,4.0103E+13,0,1.08969E+15,4.54455E+12,1.17677E+15,3.31E+21,0,-84.19354839,71.42857143
3.29E+19,2.41E+18,7.10E+18,5.08261E+15,3.99164E+13,0,2.31995E+15,2.91667E+12,2.54064E+15,3.39E+21,0,-84.19354839,77.14285714
3.51E+19,2.22E+18,7.08E+18,5.09286E+15,3.96503E+13,0,1.63395E+15,1.83412E+12,1.77555E+15,3.64E+21,0,-84.19354839,82.85714286
3.99E+19,2.49E+18,7.07E+18,5.10901E+15,4.02529E+13,0,4.6365E+15,6.59466E+11,5.13034E+15,3.70E+21,0,-84.19354839,88.57142857
4.24E+19,2.93E+18,7.05E+18,5.10686E+15,4.02523E+13,0,1.4544E+15,3.06727E+11,1.56262E+15,3.69E+21,0,-84.19354839,94.28571429
4.18E+19,2.81E+18,7.07E+18,5.13036E+15,4.05385E+13,0,2.04411E+15,6.71031E+12,2.19589E+15,3.93E+21,0,-84.19354839,100
4.07E+19,3.01E+18,7.07E+18,5.14273E+15,4.10936E+13,0,1.21947E+15,6.97502E+11,1.29529E+15,4.13E+21,0,-84.19354839,105.7142857
4.02E+19,3.42E+18,7.09E+18,5.16286E+15,4.18566E+13,0,2.08453E+15,1.72098E+12,2.26929E+15,4.33E+21,0,-84.19354839,111.4285714
4.16E+19,3.68E+18,7.12E+18,5.18138E+15,4.18472E+13,0,1.24088E+15,6.13847E+11,1.33206E+15,4.46E+21,0,-84.19354839,117.1428571
4.30E+19,4.26E+18,7.15E+18,5.20644E+15,4.2531E+13,0,2.38674E+15,2.44231E+12,2.64855E+15,4.38E+21,0,-84.19354839,122.8571429
4.32E+19,3.32E+18,7.17E+18,5.22256E+15,4.25282E+13,0,2.50634E+15,0,2.65393E+15,4.34E+21,0,-84.19354839,128.5714286
4.29E+19,3.28E+18,7.22E+18,5.2306E+15,4.3489E+13,0,2.31537E+15,0,2.39496E+15,4.27E+21,0,-84.19354839,134.2857143
4.34E+19,4.27E+18,7.25E+18,5.23533E+15,4.42237E+13,0,3.10029E+15,6.20937E+11,3.28033E+15,4.09E+21,0,-84.19354839,140
4.53E+19,3.86E+18,7.30E+18,5.24116E+15,4.53178E+13,0,2.32154E+15,1.49412E+13,2.44545E+15,3.91E+21,0,-84.19354839,145.7142857
4.58E+19,2.79E+18,7.32E+18,5.24215E+15,4.61374E+13,0,2.2148E+15,0,2.30194E+15,4.29E+21,0,-84.19354839,151.4285714
4.48E+19,4.35E+18,7.33E+18,5.22703E+15,4.80601E+13,0,2.92875E+15,2.01593E+12,3.01946E+15,5.24E+21,0,-84.19354839,157.1428571
4.44E+19,3.44E+18,7.38E+18,5.16239E+15,5.05132E+13,0,2.80677E+15,0,2.83324E+15,7.54E+21,0,-84.19354839,162.8571429
