ir1_ch4,ir3_co,uv0_o3,uv1_no2,uv3_bro,uv4_h2co,uv5_so2,uv6_oclo,uv7_so2,uv8_h2o,uv9_chocho,lat,lon
2.9063633337690518e+19,2.1669213458743037e+18,5.163550620283316e+18,3542082216544918.5,45239286417860.414,0.0,4874798586573227.0,1467906883242.6667,4543374439454906.0,2.376355722929415e+21,139679935920754.73,-84.19354838709677,157.14285714285717
3.1383955263975952e+19,2.3150604368406963e+18,5.268115030690162e+18,3559578379521956.5,48295558171900.21,0.0,5547543586286846.0,6505477178203.729,5094306279806547.0,3.501829179825131e+21,142772726045052.03,-84.19354838709677,162.8571428571429
3.361434269408359e+19,2.0833020372619538e+18,5.340979672990024e+18,3573274425540955.5,51029824851720.08,0.0,5139297999383698.0,829662869243.3994,4844052788681954.0,4.3579343914984423e+21,152953238247220.3,-84.19354838709677,168.57142857142856
3.4050258000212808e+19,2.496940864541194e+18,5.442895238755466e+18,3591062466271576.5,52439359844613.13,0.0,5854527770974248.0,1090147052967.7241,5592721628509568.0,4.953501103243071e+21,139081790827586.36,-84.19354838709677,174.28571428571428
3.4093939131228783e+19,1.720876825308474e+18,5.524432716246609e+18,3608248951173972.5,53168380166745.98,0.0,5489150185535692.0,9480754032440.195,5253110665365938.0,5.275689454247025e+21,137604430651526.94,-84.19354838709677,180.0
4.306496038570324e+19,1.9063192696010598e+18,5.784478234207215e+18,3875811833182261.5,52144635534576.91,0.0,1.1621271598090562e+16,895706228315.0211,6933092410862473.0,6.744210248719135e+21,169229047758614.84,-78.38709677419355,-180.0
5.260036110865211e+19,1.9672454487378563e+18,5.866194053737144e+18,3915620954470787.0,50974165241642.914,0.0,1.4395956617558964e+16,2991398010318.0034,7798103656231669.0,6.972608387371249e+21,164899821379647.6,-78.38709677419355,-174.28571428571428
9.420025299681657e+19,2.0215892975291855e+18,6.019608464822484e+18,3966136042417484.0,50317448327150.29,0.0,1.016422722400024e+16,954188776215.4738,7143805814685718.0,7.172550307928361e+21,162944965868344.62,-78.38709677419355,-168.57142857142858
4.201217439208904e+19,2.2826093460131092e+18,6.148213407300666e+18,4035753400622452.5,48904679924020.664,0.0,8611852777505658.0,1381158262006.7795,6823254585432102.0,6.780242886073197e+21,165901566740078.78,-78.38709677419355,-162.85714285714286
4.6241124122327515e+19,2.2802810221830897e+18,6.358869038334483e+18,4138477180550692.0,47692018261467.34,0.0,7915717030484169.0,1612303615540.253,7190571287621552.0,6.90961202751951e+21,158933336185776.34,-78.38709677419355,-157.14285714285714
4.30373667613192e+19,1.9328932141419077e+18,6.530375463047368e+18,4227700250778397.5,46551405298591.8,0.0,8749525112734657.0,1151835780058.663,8634517237610700.0,7.105280846387916e+21,161322182542423.97,-78.38709677419355,-151.42857142857142
4.022218956765037e+19,2.554292037460268e+18,6.698152076845094e+18,4293674725345497.0,46009568783391.31,0.0,8655317014004599.0,1587719929641.5657,8830590018674484.0,7.512048656613216e+21,149856679663333.38,-78.38709677419355,-145.71428571428572
4.442267827199259e+19,2.30971904865886e+18,6.872048921723085e+18,4340172513540218.0,45202327178795.875,0.0,9159237993347606.0,1154182324971.3167,9468357674245762.0,7.101627177691423e+21,152352286423240.53,-78.38709677419355,-140.0
4.5538281143972286e+20,2.6134103815910886e+18,7.059194922930431e+18,4401120038028774.0,44466375860488.56,0.0,8845950307717495.0,917080002375.9806,9245952426858068.0,6.384274906310197e+21,163116908597585.12,-78.38709677419355,-134.28571428571428
7.774058095697045e+19,2.836764348022953e+18,7.232273496942311e+18,4460096217100745.5,43705493436152.08,0.0,8154616417307149.0,5659782059342.909,8639284170324238.0,5.914450793309564e+21,166538975958578.28,-78.38709677419355,-128.57142857142856
8.098031263967438e+19,2.162613340256314e+18,7.37114262001869e+18,4515185298600731.0,43746338433348.766,0.0,7752808963602067.0,2242216901171.784,8261573320876391.0,5.931793270984242e+21,167587883585404.66,-78.38709677419355,-122.85714285714286
7.488589542585588e+19,6.282338937851313e+18,7.430069434996283e+18,4569860890062594.0,43718320941523.73,0.0,7752138312137152.0,2719876722635.1777,8260166015229208.0,5.907391857948449e+21,158012039972437.78,-78.38709677419355,-117.14285714285714
4.546565782941159e+19,3.9811149944626985e+18,7.459296966088095e+18,4610490475725660.0,43021721470769.45,0.0,7803928305454326.0,1007395989941.3027,8248575694386330.0,6.046883608726553e+21,168889848353816.7,-78.38709677419355,-111.42857142857143
5.040067630736733e+19,2.7095110227584435e+18,7.529095992469695e+18,4640694181589994.0,42209270819508.16,0.0,7347246440298916.0,1225531367018.8442,7686519840573099.0,6.009041652205288e+21,153645131669992.56,-78.38709677419355,-105.71428571428571
5.08252808523684e+19,3.918786076715259e+18,7.621376177620754e+18,4671894547636172.0,41892140467014.86,0.0,5857532704026247.0,1106557890607.1482,6096146026399955.0,5.903630260920659e+21,158186018025652.78,-78.38709677419355,-100.0
6.65185817759354e+19,6.333281360509793e+18,7.699396663680612e+18,4637028580455485.0,41888867355924.234,0.0,7070431530393507.0,1167127861889.7568,7316692022120728.0,6.292070624458764e+21,157230907691783.88,-78.38709677419355,-94.28571428571428
5.18255668711465e+19,3.4413490505211203e+18,7.762033562359781e+18,4596569417564687.0,42278485586410.5,0.0,6239677154892863.0,1072364063723.6279,6490580100466260.0,6.750509107520575e+21,159189376466806.84,-78.38709677419355,-88.57142857142857
5.499081213122217e+19,5.652037145569884e+18,7.781142516387074e+18,4516744573765121.0,43959449511552.31,0.0,7123778160616896.0,1072021372093.9381,7410675294419475.0,8.494352551885068e+21,155221327720977.62,-78.38709677419355,-82.85714285714286
4.366615117606913e+19,2.1008360687542328e+20,7.757994649850649e+18,4460775714361968.0,46136101047338.4,0.0,7639380171972954.0,799111282166.5082,7928397982042286.0,9.298389375063057e+21,159252918948567.62,-78.38709677419355,-77.14285714285714
4.3839887870849204e+19,1.7145594318427406e+19,7.686564549817245e+18,4440717611305760.5,46925267032996.734,0.0,8064307015687869.0,1075840543028.0846,8393592861084949.0,9.197805333007348e+21,149751584702885.16,-78.38709677419355,-71.42857142857143
4.424035018386342e+19,1.3822497912219947e+19,7.574081730729077e+18,4401574750382641.5,46606129960613.05,0.0,8048810973006344.0,1682684413359.3616,8398476724310796.0,8.845422906936923e+21,157650979377064.84,-78.38709677419355,-65.71428571428571
4.213683976689266e+19,9.030596064525671e+18,7.417423645302868e+18,4358032204211669.0,46834155574112.75,0.0,8231520949340941.0,1034325862857.4817,8555330401719539.0,8.716593234454064e+21,156662796661836.5,-78.38709677419355,-60.0
4.330942812368158e+19,7.601344792595237e+18,7.192142619037229e+18,4328653041168136.0,46807305720717.11,0.0,7962838996674105.0,1091869760814.8953,8188370662238063.0,8.317894856397888e+21,169682003114383.38,-78.38709677419355,-54.28571428571428
4.830810382130491e+19,5.172659952572794e+18,7.021630541312044e+18,4314897735769666.0,46090494513032.875,0.0,7078936253973755.0,2625815145517.3735,6957614656971423.0,7.118367553561175e+21,158195475900161.47,-78.38709677419355,-48.571428571428555
4.752543736217484e+19,5.271106440205114e+18,6.812666034835505e+18,4231907784018994.0,47619031677256.79,0.0,7521243656373774.0,1320265071766.6692,7151463061429514.0,6.477139616038702e+21,162142952109404.72,-78.38709677419355,-42.85714285714286
4.937502798539439e+19,6.466810734788503e+18,6.612170503170552e+18,4132102666748636.0,49200810276688.63,0.0,7673143370646141.0,1309962370324.8457,7271426556501399.0,5.856532436608438e+21,152181840248376.9,-78.38709677419355,-37.14285714285714
5.002210232641803e+19,6.302448984194113e+18,6.381683212808876e+18,4009935239252448.5,48963465923585.04,0.0,7508366330103757.0,2000411878545.6252,7092353475434347.0,4.894248548493701e+21,148215662385282.2,-78.38709677419355,-31.428571428571416
5.86537556376903e+19,7.632760428795896e+18,6.132308910871078e+18,3891339812068520.0,46673607704443.47,0.0,6382315344362401.0,1401563139154.2283,6035187078219765.0,3.9939016155154093e+21,154357355659720.94,-78.38709677419355,-25.714285714285722
